nazwa_waluty;przelicznik;kod_waluty;kurs_sredni
bat (Tajlandia);1;THB;0,1139
dolar ameryka?ski;1;USD;3,7399
dolar australijski;1;AUD;2,6504
dolar Hongkongu;1;HKD;0,4772
dolar kanadyjski;1;CAD;2,8651
dolar nowozelandzki;1;NZD;2,4241
dolar singapurski;1;SGD;2,7073
euro;1;EUR;4,3179
forint (W?gry);100;HUF;1,3274
frank szwajcarski;1;CHF;3,7818
funt szterling;1;GBP;4,9336
hrywna (Ukraina);1;UAH;0,1336
jen (Japonia);100;JPY;3,3313
korona czeska;1;CZK;0,1670
korona du?ska;1;DKK;0,5788
korona islandzka;100;ISK;3,2127
korona norweska;1;NOK;0,4547
korona szwedzka;1;SEK;0,4154
kuna (Chorwacja);1;HRK;0,5829
lej rumu?ski;1;RON;0,9252
lew (Bu?garia);1;BGN;2,2077
lira turecka;1;TRY;0,6240
nowy izraelski szekel;1;ILS;1,0288
peso chilijskie;100;CLP;0,5434
peso meksyka?skie;1;MXN;0,1960
piso filipi?skie;1;PHP;0,0691
rand (Republika Po?udniowej Afryki);1;ZAR;0,2554
real (Brazylia);1;BRL;0,9956
ringgit (Malezja);1;MYR;0,8992
rubel rosyjski;1;RUB;0,0561
rupia indonezyjska;10000;IDR;2,4548
rupia indyjska;100;INR;5,0437
won po?udniowokorea?ski;100;KRW;0,3271
yuan renminbi (Chiny);1;CNY;0,5398
SDR (MFW);1;XDR;5,2281
